"24e6b3ce";"7980c0ae";"83ed87ea";"4f585ebb";"regular";"volta";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-22,116142;-43,19823;0;2019-01-03 07:30:00;2019-01-03 05:32:02;2019-01-03 07:31:48
"3970fe3d";"51c1ab4e";"7abcba0e";"fbdb4285";"regular";"volta";"não";"VITORIA DA CONQUISTA";"BA";"SAO PAULO";"SP";-23,5111753;-46,6022686;1;2019-01-05 16:10:00;2019-01-05 06:48:42;2019-01-06 10:02:13
"e2c281a7";"51c1ab4e";"7abcba0e";"40b96a8d";"regular";"ida";"não";"VITORIA DA CONQUISTA";"BA";"SAO PAULO";"SP";-14,8796953;-40,854068;1;2019-01-06 10:15:00;2019-01-06 11:39:59;2019-01-07 12:59:12
"0fcbe00d";"7980c0ae";"83ed87ea";"a70775bd";"regular";"ida";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-22,116437;-43,200528;0;2019-01-03 13:30:00;2019-01-03 01:33:03;2019-01-03 03:18:06
"d49e27ba";"7980c0ae";"83ed87ea";"4f585ebb";"regular";"volta";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-21,7358945;-43,3950339;0;2019-01-02 22:30:00;2019-01-02 10:26:23;2019-01-03 12:08:36
"8dce31ac";"808be8bd";"5d383322";"3b7cfea3";"regular";"volta";"não";"FORTALEZA";"CE";"BELEM";"PA";-1,438593;-48,455;0,65;2019-01-07 13:00:00;2019-01-07 03:36:14;2019-01-08 09:04:11
"99db53b2";"7980c0ae";"83ed87ea";"8ddac9ca";"regular";"ida";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-22,116213;-43,200547;0;2019-01-01 08:45:00;2019-01-01 08:32:36;2019-01-01 10:14:54
"27060b65";"51c1ab4e";"71b01b13";"b1f3bf93";"regular";"ida";"não";"SALVADOR";"BA";"PETROLINA";"PE";-12,9773888;-38,4653505;1,1;2019-01-05 21:50:00;2019-01-06 12:58:17;2019-01-06 08:49:21
"cbde536d";"808be8bd";"0bd920da";"eaddde2a";"regular";"ida";"não";"FORTALEZA";"CE";"TERESINA";"PI";-3,75773;-38,530703;5,65;2019-01-07 21:30:00;2019-01-08 12:32:29;2019-01-08 10:39:08
"02c5b352";"808be8bd";"e514cce7";"14faa2fe";"regular";"volta";"não";"BELEM";"PA";"NATAL";"RN";-5,819806;-35,235273;0,78;2019-01-08 07:30:00;2019-01-08 10:33:12;2019-01-10 03:13:21
"c2afdf2e";"808be8bd";"c61822da";"0c058aa4";"regular";"ida";"não";"SAO LUIS";"MA";"TERESINA";"PI";-2,562948;-44,244728;0,89;2019-01-08 22:30:00;2019-01-09 01:19:40;2019-01-09 08:57:10
"44d5d193";"808be8bd";"b0dd787b";"aea206e9";"regular";"volta";"não";"SAO LUIS";"MA";"TERESINA";"PI";-2,53682;-44,227671;1,01;2019-01-08 22:00:00;2019-01-09 01:11:21;2019-01-09 08:41:11
"4fa0bf1f";"808be8bd";"5d383322";"001fbeeb";"regular";"volta";"não";"FORTALEZA";"CE";"BELEM";"PA";-1,438538;-48,45498;0,75;2019-01-09 13:00:00;2019-01-09 04:06:04;2019-01-10 08:17:59
"3a64ad2e";"808be8bd";"b46cef63";"eec9e30b";"regular";"volta";"não";"FORTALEZA";"CE";"NATAL";"RN";-3,791858;-38,509834;0,6;2019-01-08 21:30:00;2019-01-09 12:31:42;2019-01-09 09:25:08
"f14ecc18";"51c1ab4e";"7abcba0e";"e1900a9c";"regular";"volta";"não";"VITORIA DA CONQUISTA";"BA";"SAO PAULO";"SP";-14,8797605;-40,8540506;1;2019-01-05 10:15:00;2019-01-05 12:03:09;2019-01-06 02:18:56
"a7146b9e";"51c1ab4e";"7abcba0e";"9f1b2e8d";"regular";"ida";"não";"VITORIA DA CONQUISTA";"BA";"SAO PAULO";"SP";-23,5166204;-46,6233803;3,5;2019-01-05 17:00:00;2019-01-05 06:25:48;2019-01-05 06:37:42
"30f3d1d0";"808be8bd";"b46cef63";"001fbeeb";"regular";"ida";"não";"FORTALEZA";"CE";"NATAL";"RN";-3,75748;-38,530441;0,63;2019-01-08 12:00:00;2019-01-08 02:59:52;2019-01-08 11:51:39
"91bc263b";"808be8bd";"72e66d2a";"7945ae37";"regular";"volta";"não";"BELEM";"PA";"TERESINA";"PI";-1,448396;-48,465918;0,75;2019-01-08 17:00:00;2019-01-08 08:02:39;2019-01-09 01:16:19
"ffb37479";"7980c0ae";"83ed87ea";"651283f4";"regular";"ida";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-22,1161355;-43,1982375;0;2019-01-03 20:30:00;2019-01-03 08:34:36;2019-01-03 10:06:39
"d9a51723";"51c1ab4e";"fe7f4220";"73f71140";"regular";"volta";"não";"RAUL SOARES";"MG";"SAO PAULO";"SP";-23,5111755;-46,6025807;1;2019-01-05 18:00:00;2019-01-05 07:29:30;2019-01-06 11:05:45
"ef383940";"51c1ab4e";"7abcba0e";"57abf744";"regular";"volta";"não";"VITORIA DA CONQUISTA";"BA";"SAO PAULO";"SP";-23,5169028;-46,6236227;2,1;2019-01-05 11:15:00;2019-01-05 01:39:41;2019-01-06 03:04:50
"f2bd2726";"808be8bd";"f456f371";"148b003b";"regular";"volta";"não";"CAMPINA GRANDE";"PB";"SAO PAULO";"SP";-23,517273;-46,623433;0,87;2019-01-08 10:00:00;2019-01-08 01:04:14;2019-01-10 08:49:40
"b7629ceb";"808be8bd";"085df4b4";"0dc007d2";"regular";"ida";"não";"FORTALEZA";"CE";"RECIFE";"PE";-3,757431;-38,530443;0,84;2019-01-06 22:30:00;2019-01-07 01:33:09;2019-01-07 01:24:45
"1400a07e";"808be8bd";"b46cef63";"5adaa493";"regular";"volta";"não";"FORTALEZA";"CE";"NATAL";"RN";-5,819711;-35,235303;0,83;2019-01-09 21:15:00;2019-01-10 01:12:46;2019-01-10 09:13:42
"db94962a";"808be8bd";"b46cef63";"0b0b65f8";"regular";"volta";"não";"FORTALEZA";"CE";"NATAL";"RN";-5,819643;-35,23542;0,63;2019-01-07 21:15:00;2019-01-08 12:29:45;2019-01-08 09:27:48
"858f7476";"51c1ab4e";"2befb554";"2726bbe6";"regular";"ida";"não";"VITORIA DA CONQUISTA";"BA";"SAO PAULO";"SP";-22,1335977;-43,2478141;1;2019-01-06 09:31:00;2019-01-06 10:50:59;2019-01-06 06:42:37
"c8df1bfd";"808be8bd";"ee488bda";"e733354a";"regular";"volta";"não";"BELEM";"PA";"JOAO PESSOA";"PB";-7,142638;-34,921676;0,63;2019-01-09 16:00:00;2019-01-09 06:31:41;2019-01-11 12:06:30
"89762ed8";"7980c0ae";"83ed87ea";"fff5074b";"regular";"volta";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-22,116076;-43,198209;0;2019-01-01 10:30:00;2019-01-01 10:31:29;2019-01-01 10:47:33
"2057fd4e";"808be8bd";"960e1863";"bb32b9dc";"regular";"volta";"não";"SOBRAL";"CE";"BRASILIA";"DF";-15,80557;-47,965416;0,68;2019-01-07 08:00:00;2019-01-07 10:41:28;2019-01-09 05:31:32
"715cace3";"51c1ab4e";"7abcba0e";"46c20bb3";"regular";"ida";"não";"VITORIA DA CONQUISTA";"BA";"SAO PAULO";"SP";-14,8796324;-40,8541773;1;2019-01-05 13:00:00;2019-01-05 02:55:47;2019-01-06 03:59:17
"4e77ceab";"51c1ab4e";"7abcba0e";"0426fa42";"regular";"ida";"não";"VITORIA DA CONQUISTA";"BA";"SAO PAULO";"SP";-14,8807131;-40,8567248;1;2019-01-05 16:30:00;2019-01-05 06:53:10;2019-01-06 07:54:46
"ebb545f2";"7980c0ae";"83ed87ea";"0f28b213";"regular";"volta";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-22,116136;-43,198234;0;2019-01-02 16:15:00;2019-01-02 04:15:53;2019-01-02 06:16:46
"c7f5d228";"7980c0ae";"83ed87ea";"651283f4";"regular";"ida";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-22,116044;-43,198341;0;2019-01-02 05:30:00;2019-01-02 05:30:15;2019-01-02 06:58:41
"a4f4d335";"7980c0ae";"83ed87ea";"0f28b213";"regular";"volta";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-22,115931;-43,19823;0;2019-01-02 20:30:00;2019-01-02 08:42:43;2019-01-02 10:15:51
"98193985";"7980c0ae";"83ed87ea";"651283f4";"regular";"volta";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-21,7360197;-43,3948661;0;2019-01-03 17:15:00;2019-01-03 05:14:53;2019-01-03 07:02:58
"e2feb395";"808be8bd";"0bd920da";"1799e061";"regular";"volta";"não";"FORTALEZA";"CE";"TERESINA";"PI";-5,119049;-42,78445;1,3;2019-01-06 21:30:00;2019-01-07 12:47:27;2019-01-07 11:18:07
"75c283c4";"808be8bd";"22e790e7";"42c2dcc9";"regular";"ida";"não";"FORTALEZA";"CE";"PARNAIBA";"PI";-3,757371;-38,530315;0,78;2019-01-08 07:15:00;2019-01-08 10:20:03;2019-01-08 07:35:16
"c5f130e7";"7980c0ae";"83ed87ea";"651283f4";"regular";"volta";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-22,116059;-43,198193;0;2019-01-01 05:30:00;2019-01-01 05:30:01;2019-01-01 06:53:37
"f17bafde";"808be8bd";"eddb98c0";"eca079b7";"regular";"ida";"não";"IMPERATRIZ";"MA";"JOAO PESSOA";"PB";-5,476596;-47,472223;0,54;2019-01-08 16:30:00;2019-01-08 07:31:09;2019-01-10 09:30:08
"17f50356";"7980c0ae";"83ed87ea";"8ddac9ca";"regular";"volta";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-21,759189;-43,342933;0;2019-01-01 18:45:08;2019-01-01 06:46:07;2019-01-01 08:21:46
"3d096937";"808be8bd";"b46cef63";"0b0b65f8";"regular";"ida";"não";"FORTALEZA";"CE";"NATAL";"RN";-3,791873;-38,509816;0,79;2019-01-08 21:00:00;2019-01-09 12:08:06;2019-01-09 09:19:34
"182d692d";"51c1ab4e";"7abcba0e";"37b7d4a9";"regular";"ida";"não";"VITORIA DA CONQUISTA";"BA";"SAO PAULO";"SP";-14,8802782;-40,8567784;1;2019-01-05 09:55:00;2019-01-05 12:25:48;2019-01-06 01:19:53
"a399172c";"7980c0ae";"83ed87ea";"a70775bd";"regular";"volta";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-21,738739;-43,374166;0;2019-01-03 05:30:00;2019-01-03 05:30:27;2019-01-03 06:56:11
"8ac088c0";"3f42bbfd";"9ffb1594";"4af4028f";"regular";"ida";"não";"BELO HORIZONTE";"MG";"RIBEIRAO PRETO";"SP";-21,036828994751;-47,6733665466309;0;2019-01-01 08:00:00;2019-01-01 07:56:59;2019-01-02 07:50:40
"2dc76928";"3f42bbfd";"9ffb1594";"f7aa207d";"regular";"volta";"não";"BELO HORIZONTE";"MG";"RIBEIRAO PRETO";"SP";-21,1428737640381;-47,7814559936523;0;2019-01-02 22:30:00;2019-01-02 10:40:50;2019-01-03 07:42:06
"c4a4cc1d";"3f42bbfd";"9ffb1594";"96e222f1";"regular";"volta";"não";"BELO HORIZONTE";"MG";"RIBEIRAO PRETO";"SP";-21,1429214477539;-47,7812843322754;0;2019-01-01 20:30:00;2019-01-01 08:33:23;2019-01-02 01:48:57
"f2ae74b3";"7980c0ae";"83ed87ea";"651283f4";"regular";"ida";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-22,116013;-43,198261;0;2019-01-02 10:30:00;2019-01-02 10:31:10;2019-01-02 12:04:52
"dbb4ee6f";"808be8bd";"22e790e7";"e87bdf97";"regular";"volta";"não";"FORTALEZA";"CE";"PARNAIBA";"PI";-3,757553;-38,530623;0,89;2019-01-09 07:15:00;2019-01-09 10:34:50;2019-01-09 07:32:10
"cacee2b1";"51c1ab4e";"ea2a03fb";"58564461";"regular";"volta";"não";"PETROPOLIS";"RJ";"SAO PAULO";"SP";-23,5109317;-46,6026274;1,9;2019-01-04 22:00:00;2019-01-04 11:58:44;2019-01-05 07:22:21
"09644e23";"7980c0ae";"83ed87ea";"3b3307d2";"regular";"ida";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-22,116022;-43,198081;0;2019-01-01 07:30:00;2019-01-01 07:29:41;2019-01-01 08:52:25
"47e7b2d3";"7980c0ae";"83ed87ea";"8ddac9ca";"regular";"ida";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-21,838957;-43,374613;0;2019-01-02 08:45:00;2019-01-02 08:18:26;2019-01-02 10:50:21
"ba76cdd5";"808be8bd";"b46cef63";"4f3bed83";"regular";"volta";"não";"FORTALEZA";"CE";"NATAL";"RN";-5,819625;-35,235423;0,9;2019-01-08 21:00:00;2019-01-09 12:20:52;2019-01-09 09:26:52
"c1492f93";"808be8bd";"72e66d2a";"37118f80";"regular";"ida";"não";"BELEM";"PA";"TERESINA";"PI";-1,449353;-48,465911;0,82;2019-01-07 17:00:00;2019-01-07 08:02:31;2019-01-08 12:38:34
"f53e0ae6";"808be8bd";"b0dd787b";"3027fe1e";"regular";"volta";"não";"SAO LUIS";"MA";"TERESINA";"PI";-2,537044;-44,227443;0,67;2019-01-05 21:30:00;2019-01-06 12:33:51;2019-01-06 08:49:43
"58407e29";"808be8bd";"6f3c5696";"e224e8f2";"regular";"volta";"não";"JOAO PESSOA";"PB";"TERESINA";"PI";-5,119441;-42,784393;3,49;2019-01-07 17:00:00;2019-01-07 08:07:16;2019-01-08 08:22:20
"fb3e08cb";"51c1ab4e";"7abcba0e";"72d5930c";"regular";"ida";"não";"VITORIA DA CONQUISTA";"BA";"SAO PAULO";"SP";-14,8796609;-40,8539824;1;2019-01-06 09:00:00;2019-01-06 11:05:02;2019-01-07 11:24:38
"e225398a";"51c1ab4e";"bff47013";"1508dcf6";"regular";"volta";"não";"PETROPOLIS";"RJ";"SAO PAULO";"SP";-23,5109017;-46,6021717;1;2019-01-05 23:00:00;2019-01-05 11:37:52;2019-01-06 07:23:05
"50013bf3";"51c1ab4e";"b8fdd8cf";"dadfe81a";"regular";"volta";"não";"TERESOPOLIS";"RJ";"SAO PAULO";"SP";-23,511164;-46,6025253;1;2019-01-05 22:00:00;2019-01-05 11:09:07;2019-01-06 08:29:33
"763168fa";"51c1ab4e";"7abcba0e";"9f71a1ac";"regular";"ida";"não";"VITORIA DA CONQUISTA";"BA";"SAO PAULO";"SP";-14,8806213;-40,8571899;1;2019-01-05 11:15:00;2019-01-05 12:52:15;2019-01-07 01:25:56
"b79f26a7";"7980c0ae";"83ed87ea";"8ddac9ca";"regular";"volta";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-21,738688;-43,374159;0;2019-01-01 20:45:19;2019-01-01 08:46:02;2019-01-01 10:21:59
"983f09d6";"51c1ab4e";"7abcba0e";"20fbe427";"regular";"volta";"não";"VITORIA DA CONQUISTA";"BA";"SAO PAULO";"SP";-23,5112099;-46,6018038;1;2019-01-05 11:05:00;2019-01-05 01:49:26;2019-01-06 06:15:58
"5efc8392";"7980c0ae";"83ed87ea";"ae4930aa";"regular";"volta";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-21,738793;-43,374188;0;2019-01-02 05:30:00;2019-01-02 05:36:56;2019-01-02 07:11:10
"82393a70";"808be8bd";"799106c9";"9b43ad22";"regular";"volta";"não";"FORTALEZA";"CE";"SAO LUIS";"MA";-2,562938;-44,244733;0,65;2019-01-05 22:00:00;2019-01-06 01:07:23;2019-01-06 07:52:25
"0ccce08b";"51c1ab4e";"7abcba0e";"8a6a22ab";"regular";"ida";"não";"VITORIA DA CONQUISTA";"BA";"SAO PAULO";"SP";-14,879701;-40,8540301;1;2019-01-06 09:55:00;2019-01-06 11:28:54;2019-01-07 01:14:20
